shortcode,url,caption,date,location,likes
DX1BSsyElFC,https://www.instagram.com/p/DX1BSsyElFC/,"Cinta (seharusnya) merubah seseorang menjadi sosok yang lebih baik

📷 Samsung A54 5G

#lampung #explorelampung #explorelampungselatan #portraits #portraitphotography",2026-05-02 07:47:50,,4
DXmOWqCk3Kq,https://www.instagram.com/p/DXmOWqCk3Kq/,"🌊🏝️🐟🛥️🐚⚓️

.
.
#pulausebesi #pulaulampung #lampungexplore #explorelampungselatan #pulauumang",2026-04-26 13:53:20,,99
DXcNRdwAXj_,https://www.instagram.com/p/DXcNRdwAXj_/,"Di Rio by The Beach, semuanya terasa sederhana—pasir putih, angin laut, dan suara ombak yang gak pernah buru-buru. Tempat ini memang masih terbilang baru, tapi justru itu yang bikin rasanya beda, belum terlalu ramai, belum terlalu “dipoles,” masih terasa jujur

Rio Beach bukan cuma soal tempat foto yang estetik. Lebih dari itu, ini tentang jeda. Tentang berhenti sebentar dari hiruk pikuk yang sering kita anggap normal.

— karena kadang, healing itu sesederhana pulang ke alam 🌊

Heshtag: 
#Rio The Beach#explorelampungselatan 
#WonderfulIndonesia
#LampungGeh
HiddenGemLampungPariwisataLampung

teq akun 
@ghufronianars @intravelampung @pesona.indonesia",2026-04-22 16:31:28,,10
DXVh6Q2mCRz,https://www.instagram.com/p/DXVh6Q2mCRz/,"Si kepang dua👀👋🏻🏝️✨

.
#pulausebesi #pulausebukukecil #explorelampungselatan #lampung #lampungwisata",2026-04-20 02:17:07,,85
DXIn_gYk29q,https://www.instagram.com/p/DXIn_gYk29q/,"*JADWAL TERSEDIA 2026*

LONG WEEEKEND 
🗓️ MEI : 1-3, 13-15, 14-16, 15-17, 29-31, 30 Mei-1 Juni.

SETIAP WEEKEND
🗓️ APRIL  : 3-5,10-12,17-19,24-26,
🗓️ MEI  : 1-3,8-10,15-17,23-24,29-31
🗓️ JUNI : 5-7,12-14,19-21,26-28
🗓️ JULI   : 3-5,10-12,17-19,24-26, 31-2Agust

TRAVEL PACKAGE
OPENTRIP SEBESI - KRAKATAU
MEETING POINT :
📌 Jakarta 675K/pax 
📌 Merak 475K/pax
📌 Bandar Lampung 630K/pax
📌 Dermaga Canti 385K/pax

DESTINATION
1. Pulau Sebuku Besar & Kecil
2. Pulau Sebesi
3. Pulau Umang-umang
4. Anak Gunung Krakatau (kondisional)
5. Spot snorkeling Di  pulau sebuku dan  pulau sebesi

Buruan jangan ntar-ntaran, ini banyak long weekend loh masa iya dirumah aja sih? 🤭🤌🏼.

#sebesiisland #opentripsebesi #opentripkrakatau #explorelampungselatan",2026-04-15 02:00:00,,38
DXHU5HTGDDc,https://www.instagram.com/p/DXHU5HTGDDc/,"Kecil dalam ukuran, besar dalam sejarah. Pesona misterius di tengah laut 🌊🌋 #anakgunungkrakatau #pulausebesi #explorelampungselatan",2026-04-14 13:54:00,,91
DWvzhOhmOj2,https://www.instagram.com/p/DWvzhOhmOj2/,"""Pesona Senja di Pulau Umang-umang"" 🏝⛰️🌤
.
.
📍 Lampung Selatan, Lampung 🇮🇩
▶️ #Adeirwn21
📸 DJI Mini 5 Pro
.
#gununganakkrakatau #pulauumangumang #explorelampungselatan #droneindonesia",2026-04-05 10:39:51,,202
DWvLungGLwk,https://www.instagram.com/p/DWvLungGLwk/,"""Tetaplah indah dalam diam, nak"" ⛰️🌤
.
.
📍 Gunung Anak Krakatau, Lampung 🇮🇩
▶️ #Adeirwn21
📸 DJI Mini 4 Pro
.
#gununganakkrakatau #lampung #explorelampungselatan #droneindonesia",2026-04-05 04:52:09,,357
DWs2WAiDwuC,https://www.instagram.com/p/DWs2WAiDwuC/,"Perjalanan ini bukan hanya tentang bersenang-senang, tetapi juga tentang belajar, membuka wawasan, tadabbur alam dan berkembang. Mengenal lingkungan baru, bertemu orang2 baru, berbagi cerita, pengalaman dan tawa. Dear anak anakku, semoga hati kalian penuh ❤️❤️ @raniaxreina #zarizfamily #explorelampung #explorelampungselatan Mashallah Tabarakallah",2026-04-04 07:06:49,,119
DWbqftiknBC,https://www.instagram.com/p/DWbqftiknBC/,"Hidup lebih asik kalo di edit. Biar makin makin, makin putih makin mulus padahal aslinya gak😂🤣

#foryourpage #explorelampungselatan #foryou",2026-03-28 14:56:11,,46
DWbqeebEhgp,https://www.instagram.com/p/DWbqeebEhgp/,"Hidup lebih asik kalo di edit. Biar makin makin, makin putih makin mulus padahal aslinya gak😂🤣

#foryourpage #explorelampungselatan #foryou",2026-03-28 14:56:09,,0
DWaU1LOk-AV,https://www.instagram.com/p/DWaU1LOk-AV/,"Mt. Ratai 1.682 MDPL

 Gunung Ratai adalah gunung setinggi 1.682 mdpl yang terletak di Kecamatan Padang Cermin/Way Ratai, Pesawaran, Lampung, dan dikenal dengan jalur pendakian “Punggung Naga” yang menawarkan panorama pesisir Teluk Lampung. Gunung ini menawarkan suasana pendakian yang asri dengan kombinasi pemandangan hutan dan laut, dekat dengan Pulau Pahawang. 
Ratai , 25 Maret 2026

#gunungratai1682mdpl #pendaki #explorelampungselatan #lampung",2026-03-28 02:27:39,,33
DWaTx5Ak-uD,https://www.instagram.com/p/DWaTx5Ak-uD/,"Mt. Ratai 1.682 MDPL

 Gunung Ratai adalah gunung setinggi 1.682 mdpl yang terletak di Kecamatan Padang Cermin/Way Ratai, Pesawaran, Lampung, dan dikenal dengan jalur pendakian “Punggung Naga” yang menawarkan panorama pesisir Teluk Lampung. Gunung ini menawarkan suasana pendakian yang asri dengan kombinasi pemandangan hutan dan laut, dekat dengan Pulau Pahawang. 
Ratai , 25 Maret 2026

#gunungratai1682mdpl #pendaki #explorelampungselatan #lampung",2026-03-28 02:27:36,,0
DWQbVNiAM83,https://www.instagram.com/p/DWQbVNiAM83/,"Journeying with a skip in out step and smiles in our hearts.
#likeforlikes #explorelampungselatan #opentrip #travelling #healingjourney",2026-03-24 06:12:02,,20
DVLgFXzE4EM,https://www.instagram.com/p/DVLgFXzE4EM/,"OPEN TRIP SEBESI – KRAKATAU

📌 Snorkeling Pulau Sebuku
📌 Explore Pulau Umang-Umang
📌 Stay di Pulau Sebesi
📌 Trekking Anak Krakatau
📌 Free Dokumentasi Drone

⚠ Slot terbatas setiap keberangkatan
⚠ Harga bisa naik sewaktu-waktu
⚠ First pay = first secure seat

Kalau kamu serius mau ikut, DM sekarang sebelum full.

Jangan tunggu next batch.
Biasanya yang nunda-nunda nggak jadi😭

#opentripsebesi #anakkrakatau #explorelampungselatan #sebesiisland",2026-02-25 11:45:58,,13
DU-ozDZk9CB,https://www.instagram.com/p/DU-ozDZk9CB/,"Sebesi, in quet frames.
Sometimes the most beautiful places teach us to slow down.

• Anak Krakatau
• Pulau Umang-Umang
• Pulau Sebuku 
• Pulau Sebesi

📍Sebesi, Lampung Selatan

#opentripsebesi #anakkrakatau #pulausebesi #explorelampungselatan",2026-02-20 11:51:59,,15
DUk4aH8k9tD,https://www.instagram.com/p/DUk4aH8k9tD/,"Langit berwarna pink–ungu memantul di permukaan laut yang tenang, sementara nelayan melintas dengan perahu kecil. Di kejauhan terlihat siluet kompleks Gunung Krakatau (Anak Krakatau) yang tampak jelas saat cuaca cerah.

Alam Lampung memang selalu punya cara membuat sore terasa lebih bermakna.🌅
#travel #photography #explorelampungselatan #exploreindonesia #wonderfulindonesia #sunset #explorepage✨ #canon #canonphotography",2026-02-10 11:48:08,,44
DUDdt6OEkps,https://www.instagram.com/p/DUDdt6OEkps/,"Di Kota, gamau panas2an takut gosong.
Di Pantai, yaudasi gosong doank namanya juga traveller😝

#explorepulausebesi #lampung #explorelampungselatan",2026-01-28 12:19:58,,369
DT4wb59k5NQ,https://www.instagram.com/p/DT4wb59k5NQ/,"At least gak wacana doang!

Kalo temen jawabannya “insyaallah” tuh kemungkinan bakal ikut kan ya?😁🤭

#sebesiisland #anakkrakatau #explorelampungselatan",2026-01-24 08:31:54,,15
DTsQ69oEkZE,https://www.instagram.com/p/DTsQ69oEkZE/,"Kalau lagi pengen piknik santai sekaligus bisa berenang, nggak perlu jauh-jauh—Pantai Marina Lampung jawabannya 🌊✨

Pasirnya luas, suasananya asyik buat ngumpul, dan airnya cocok buat main atau sekadar rileks di tepi pantai.

Liburan simpel tapi berkesan? Gas aja ke Marina!

📍 Pantai Marina, Lampung Selatan

Tag temenmu yang harus ikut kamu ke sini! Save & plan your trip now!

#pantaimarinalampung #explorelampungselatan",2026-01-19 12:05:38,,29
DTri2EnErfs,https://www.instagram.com/p/DTri2EnErfs/,"Hidden gem Lampung unlocked 🔓🌊

Bangkitkan jiwa petualangmu dan tembus batas cakrawala Selat Sunda! Di Pulau Sebuku, alam tidak hanya menyuguhkan pemandangan, tapi juga sebuah pengalaman yang sangat menyenangkan. Bayangkan dirimu meluncur di atas air laut yang jernih dan berkilau seperti permata, lalu menyelam lebih dalam lagi untuk berjumpa dengan ribuan makhluk laut yang bergerak aktif di sekitar bangkai kapal perang Jepang yang legendaris. ✨⛴️

​Rasakan hembusan angin yang segar saat berdiri di atas pasir putih yang masih sangat murni, sementara di kejauhan, siluet Kepulauan Krakatau terlihat gagah dan seolah memanggilmu untuk terus menjelajah. Suasana pulau yang terpencil dan asri ini akan membuatmu merasa seperti pemilik dari surga kecil di pesisir Lampung Selatan.

Pulau Sebuku adalah bukti nyata bahwa Lampung memiliki sejuta pesona yang tak ada habisnya. Siapkan nyalimu, kemas perlengkapanmu, dan biarkan alam Lampung memikat hatimu dengan cara yang paling indah!

​Jangan cuma disimpan di wishlist, yuk wujudkan perjalananmu ke ​📍 Pulau Sebuku, Lampung Selatan.

​Klik tombol Share untuk ajak teman-temanmu berpetualang bersama! 🎒✨

#explorelampung
​#explorelampungselatan
#wonderfulindonesia🇮🇩
#pulausebuku
#pariwisatalampung

Sumber foto: Walter Pinem, Get Lost ID, Traverse.id

Postingan ini dibuat untuk memenuhi tugas mata kuliah Bahasa Indonesia.
​
Identitas penulis
Nama: Vera Bela
NPM: 25311031
Program Studi: Sistem Informasi 
Materi: Copywriting 
Dosen Pengampu: @ghufronianars",2026-01-19 05:23:00,,10
DTpPdghAeKQ,https://www.instagram.com/p/DTpPdghAeKQ/,"sea you soon, umang-umang island🌊<33

#explorelampungselatan #umangumang #lampung",2026-01-18 07:55:09,,223
DTSH3qrk-DM,https://www.instagram.com/p/DTSH3qrk-DM/,"Not about how far we go, but who we go with.

✨ The right place
✨ The right time
✨ The right person

Sometimes, the best therapy is traveling together 🧡

#sebesiisland #coupletrip #anakkrakatau #explorelampungselatan",2026-01-09 08:26:17,,11
DTRl5FUgWNA,https://www.instagram.com/p/DTRl5FUgWNA/,"sebuku island🏝️

#explorelampungselatan #beach #sebuku #lampung",2026-01-09 03:29:23,,99
