shortcode,url,caption,date,location,likes
DRUbOuqkqhd,https://www.instagram.com/p/DRUbOuqkqhd/,"Fun Run Lamsel Fest 2025 pecaah!!!
Ribuan peserta tumpah ruah memenuhi rute—dari warga lokal hingga sahabat dari mancanegara—semuanya bersatu membawa energi positif untuk Lampung Selatan.

Terima kasih Mas Bupati Radityo Egi dan Ibu Bupati Zita Anjani yang terus menghadirkan semangat baru dan gelombang perubahan untuk Lamsel. Hari ini kita mencatat sejarah: Fun Run terbesar sepanjang penyelenggaraannya! 

Lampung Selatan makin hidup, makin membanggakan, dan terus naik level!
Lamsel menyala! 

Mention:
@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel #ProudToBeLamsel",2025-11-21 12:51:09,,1
DRUZAFzkgCn,https://www.instagram.com/p/DRUZAFzkgCn/,"Aksi luar biasa di Selat Sunda! 
Rombongan jetski yang dipimpin @zitaanjani bersama Verrell Bramasta, Audrey King of The Jungle, dan Hassan Alaydrus berhasil menempuh ±30 KM dari Jakarta menuju Bakauheni untuk Opening Ceremony Lamsel Fest 2025! 

Bukan sekadar perjalanan—ini sejarah baru! HUT ke-69 Lampung Selatan dirayakan dengan cara yang penuh energi, keberanian, dan spirit pariwisata. Ombak besar pun tak mampu menghentikan mereka. Nelayan hingga penumpang kapal dibuat takjub menyaksikan momen langka ini! 

Selamat datang di panggung keajaiban baru pariwisata Lamsel! 
Bersama @thecrownofkrakatoa, @radityoegi, dan @pemkab.lampungselatan mari kita rayakan pesona Lampung Selatan yang semakin mendunia. 

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel #ProudToBeLamsel",2025-11-21 12:31:40,,1
DRLjkENE3Se,https://www.instagram.com/p/DRLjkENE3Se/,"Lamsel Fest 2025 dalam rangka HUT ke-69

* Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah.

* Sorotan utama tertuju pada momen bersejarah pemecahan Rekor MURI Tari Tuping yang melibatkan 1.500 peserta, serta aksi memukau Jetski Lintas Selat Sunda ""Eksplorasi Gerbang Sumatera"" yang dipimpin langsung oleh Zita Anjani. Kemeriahan semakin lengkap dengan deretan konser musik lintas genre setiap malamnya, mulai dari penampilan Kerispatih hingga aksi panggung penutup yang ""pecah"" dari Silet Open Up dan pesta kembang api.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan
#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel #ProudToBeLamsel😍",2025-11-18 02:10:48,,1
DRLd1M2kjnB,https://www.instagram.com/p/DRLd1M2kjnB/,"Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah. @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-18 01:20:43,,0
DRLdrqggWWZ,https://www.instagram.com/p/DRLdrqggWWZ/,"Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah. @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-18 01:19:24,,0
DRLdhQTkjh4,https://www.instagram.com/p/DRLdhQTkjh4/,"Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah. @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-18 01:17:59,,0
DRKOs23j71U,https://www.instagram.com/p/DRKOs23j71U/,"Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-17 13:49:15,,1
DRKOhevj71L,https://www.instagram.com/p/DRKOhevj71L/,"Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-17 13:47:42,,1
DRKMzyOD9th,https://www.instagram.com/p/DRKMzyOD9th/,"Perhelatan akbar Lamsel Fest 2025 dalam rangka HUT ke-69 Kabupaten Lampung Selatan sukses digelar selama tiga hari berturut-turut, menyisakan kenangan tak terlupakan bagi ribuan masyarakat yang memadati Lapangan Korpri. Acara ini berhasil memadukan pesta rakyat, atraksi olahraga ekstrem, hingga pelestarian budaya dalam satu panggung megah. #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel
#ProudToBeLamsel",2025-11-17 13:32:44,,4
DRJivVsj-RC,https://www.instagram.com/p/DRJivVsj-RC/,"Pawai Budaya menjadi salah satu highlight utama Lamsel Fest 2025. Menggenapi keseruan Aksi Jetski Lintas Selat dan Fun Run yang berlangsung sebelumnya. Momentum ini memperlihatkan bahwa Lamsel Fest adalah event besar yang menggabungkan sport, budaya, dan hiburan dalam satu panggung rakyat.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel #ZulkifliHasan #MenkoPangan #PartaiAmanatNasional #bantupanganbanturakyat",2025-11-17 07:25:07,,0
DRJKQHRj5TP,https://www.instagram.com/p/DRJKQHRj5TP/,"Usai Fun Run, Zita Anjani Pungut Sampah di Lapangan Korpri: Beri Contoh Jaga Kebersihan Lingkungan. Zita mengajak masyarakat agar sama-sama jaga Lampung Selatan ini supaya Asri, Bersih, Rapih, dan Indah (ABRI). ""Kalau bukan kita yang mau menjaganya terus mau siapa lagi. Maka dari itu kita mulai dari hal-hal kecil untuk mempedulikannya dan menjaganya,"" pungkasnya.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan
* Jangan lupa gunakan hastag:  #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-17 03:51:08,,0
DRJBmFKj3RZ,https://www.instagram.com/p/DRJBmFKj3RZ/,"LAMSEL FEST 2025 BENAR-BENAR HEBOH! Ditutup hari ini (16/11) dengan pemandangan 1.500 penari Tari Tuping yang ""membanjiri"" Lapangan Korpri. Mereka sukses mencetak sejarah Rekor MURI ""Pagelaran Tari Tuping oleh Penari Terbanyak"". Ini jadi puncak sempurna Pesta Rakyat 3 hari HUT Ke-69 Lamsel, yang sebelumnya sudah dihebohkan Aksi Jetski Lintas Selat dan antusiasme Fun Run. Keren!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan
 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-17 02:35:30,,0
DRI_iiQDxjV,https://www.instagram.com/p/DRI_iiQDxjV/,"Dari start sampai finish, suasananya pecah! Fun Run Lamsel Fest 2025 jadi yang paling meriah sepanjang penyelenggaraannya. @thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan
 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-17 02:17:32,,0
DRH2vZbAUNU,https://www.instagram.com/p/DRH2vZbAUNU/,"Lamsel Fest 2025 benar-benar pecah hari ini. Sejak pagi, jalanan Lampung Selatan dipenuhi lautan manusia yang tumpah ruah mengikuti Pawai Budaya. Ribuan warga hadir dengan antusias, menghadirkan iring-iringan panjang yang tidak pernah putus sepanjang jalur pawai. Sebuah momentum yang menunjukkan bahwa kebanggaan dan kecintaan masyarakat terhadap budaya daerah terus hidup dan semakin menguat. @zitaanjani @radityoegi 
#lamselfest2025 #thecrownofkrakatoa #pesonalamsel #hut69lampungselatan",2025-11-16 15:41:25,,0
DRHd81_AT22,https://www.instagram.com/p/DRHd81_AT22/,"Lamsel Fest 2025: Puncak Perayaan HUT ke-69 dengan Prestasi Spektakuler

Lamsel Fest 2025 resmi berakhir dengan gemilang, menorehkan prestasi spektakuler melalui pemecahan Rekor MURI “Pagelaran Tari Tuping oleh Penari Terbanyak” yang melibatkan 1.500 pelajar SMP se-Lamsel.

Rangkaian pesta rakyat selama tiga hari benar-benar menghadirkan antusiasme luar biasa mulai dari Aksi Jetski Lintas Selat, Fun Run yang dipadati peserta, hingga konser artis nasional setiap malam.

Perayaan HUT ke-69 Lampung Selatan tahun ini menjadi bukti bahwa kolaborasi, kreativitas, dan semangat masyarakat terus tumbuh kuat. Terima kasih kepada seluruh warga yang telah menjadikan Lamsel Fest 2025 begitu berkesan. @zul.hasan @zitaanjani @thecrownofkrakatoa @radityoegi 
#lamselfest2025 #hut69lampungselatan #thecrownofkrakatoa #pesonalamsel",2025-11-16 12:04:48,,0
DRHbRNVDwL9,https://www.instagram.com/p/DRHbRNVDwL9/,"SEJARAH BARU TERCIPTA! Lamsel Fest 2025 resmi ditutup hari ini (16/11) dengan pencapaian spektakuler: pemecahan Rekor MURI ""Pagelaran Tari Tuping oleh Penari Terbanyak"" oleh 1.500 pelajar SMP se-Lamsel! Ini jadi puncak sempurna Pesta Rakyat 3 hari HUT Ke-69 Lamsel! Antusiasme warga luar biasa, mulai dari Aksi Jetski Lintas Selat, antrian Fun Run yang membludak, hingga konser artis nasional tiap malam!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-16 11:41:21,,0
DRHa01oE_hR,https://www.instagram.com/p/DRHa01oE_hR/,"Penutupan Lamsel Fest 2025: Sejarah Baru dengan Rekor MURI Tari Tuping Terbanyak

Sejarah baru kembali tercipta di Kabupaten Lampung Selatan. Lamsel Fest 2025 resmi ditutup dengan pencapaian luar biasa melalui pemecahan Rekor MURI “Pagelaran Tari Tuping oleh Penari Terbanyak” yang melibatkan 1.500 pelajar SMP se Lamsel.

Momen ini menjadi puncak sempurna rangkaian Pesta Rakyat HUT Ke-69 Lamseldari aksi Jetski Lintas Selat, Fun Run yang membeludak, hingga konser artis nasional setiap malam.

Terima kasih atas antusiasme dan kebersamaan seluruh masyarakat. Lamsel Fest 2025 bukan hanya perayaan, tetapi bukti bahwa kebudayaan dan semangat gotong royong kita terus hidup dan berkembang
@zitaanjani @zul.hasan @thecrownofkrakatoa @radityoegi 
#lamselfest2025 #hut69lampungselatan #thecrownofkrakatoa #pesonalamsel #funrunlamsel",2025-11-16 11:37:29,,0
DRHaz4XD3zw,https://www.instagram.com/p/DRHaz4XD3zw/,"SEJARAH BARU TERCIPTA! Lamsel Fest 2025 resmi ditutup hari ini (16/11) dengan pencapaian spektakuler: pemecahan Rekor MURI ""Pagelaran Tari Tuping oleh Penari Terbanyak"" oleh 1.500 pelajar SMP se-Lamsel! Ini jadi puncak sempurna Pesta Rakyat 3 hari HUT Ke-69 Lamsel! Antusiasme warga luar biasa, mulai dari Aksi Jetski Lintas Selat, antrian Fun Run yang membludak, hingga konser artis nasional tiap malam!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemka.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-16 11:37:21,,0
DRHTFqOkiLr,https://www.instagram.com/p/DRHTFqOkiLr/,"LAMSEL FEST 2025 BENAR-BENAR HEBOH! Ditutup hari ini (16/11) dengan pemandangan 1.500 penari Tari Tuping yang ""membanjiri"" Lapangan Korpri. Mereka sukses mencetak sejarah Rekor MURI ""Pagelaran Tari Tuping oleh Penari Terbanyak"". Ini jadi puncak sempurna Pesta Rakyat 3 hari HUT Ke-69 Lamsel, yang sebelumnya sudah dihebohkan Aksi Jetski Lintas Selat dan antusiasme Fun Run. Keren!

- Mention: @thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan
#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel 

‎",2025-11-16 10:29:53,,1
DREyJiejz2R,https://www.instagram.com/p/DREyJiejz2R/,"Fun Run Lamsel Fest 2025 benar-benar pecah! Ribuan peserta tumpah ruah, dari warga lokal sampai sahabat dari mancanegara. Terima kasih Mas Bupati Radityo Egi dan Ibu Bupati Zita Anjani, semangat baru Lampung Selatan makin terasa. Lamsel terus menyala!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-15 11:03:34,,0
DREx48Dj1EH,https://www.instagram.com/p/DREx48Dj1EH/,"Fun Run Lamsel Fest 2025 benar-benar pecah! Ribuan peserta tumpah ruah, dari warga lokal sampai sahabat dari mancanegara. Terima kasih Mas Bupati Radityo Egi dan Ibu Bupati Zita Anjani, semangat baru Lampung Selatan makin terasa. Lamsel terus menyala!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-15 11:01:18,,0
DREvaASj7xN,https://www.instagram.com/p/DREvaASj7xN/,"Ribuan warga memenuhi Lapangan Korpri pada malam pembukaan Lamsel Fest & Expo 2025. Musik, cahaya, dan energi masyarakat bersatu menciptakan malam yang tak terlupakan. Kepemimpinan Mas Bupati Radityo Egi Pratama dan Ibu Bupati Zita Anjani kembali menjadi motor penggerak kemajuan budaya & pariwisata Lampung Selatan. Lamsel semakin berjaya.,Dari panggung megah hingga riuh sorak warga, malam pembukaan Lamsel Fest 2025 benar-benar mengguncang Kalianda! Di bawah arah Mas Bupati Radityo Egi Pratama dan Ibu Bupati Zita Anjani, festival ini menjadi bukti nyata kebangkitan event besar di Lampung Selatan. Kita siap menyambut hari-hari penuh kejutan berikutnya!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan
 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel 

‎",2025-11-15 10:39:36,,0
