shortcode,url,caption,date,location,likes
DUm0fCRmM7Z,https://www.instagram.com/p/DUm0fCRmM7Z/,"Persoalan kebersihan tidak lagi bisa dipandang sebagai isu sepele. Bupati Lampung Selatan, Radityo Egi Pratama menegaskan, bahwa masa depan pariwisata dan geliat ekonomi daerah sangat ditentukan oleh kesadaran masyarakat dalam menjaga lingkungan.

Penegasan itu disampaikan Bupati Egi saat menghadiri Grand Opening Cik Tien Oleh-oleh Lampung di Kalianda, Rabu (11/2/2025).

Dalam suasana peresmian yang sarat semangat pengembangan ekonomi lokal, Bupati Egi mengajak masyarakat melihat kebersihan sebagai investasi jangka panjang bagi kemajuan daerah.

Baca selengkapnya di www.lampung.tigapena.com

#LampungSelatan #BupatiEgi #Pariwisata #KebersihanPenting #VisitLampungSelatan #LingkunganBersih",2026-02-11 05:52:20,,2
C7sslk7yE2V,https://www.instagram.com/p/C7sslk7yE2V/,"Tabik pun… 🙏
.
.
.
.
.
#visitlampung #visitlampungselatan #beach #riobythebeach",2024-06-02 03:33:55,,42
C7QJttXPAQS,https://www.instagram.com/p/C7QJttXPAQS/,"Bismillah 

Maa Syaa Allah Tabarakallah 
Allahumma baarik 

Pantai Rio by the Beach🏝️🌅🌴🌴🌴
Lampung Selatan 

Bersama adikku 

#visitlampung#visitlampungselatan#pantairiobythebeach#liburan#liburankeluarga #pesonapantai#pesonaindonesia#piknik#refreshing#holiday#santai#pantairio#indonesia#pantaibersih#pantaiindah#pasirluas#riomotret#riobythebeach",2024-05-22 01:30:27,,157
C29VVW4qoka,https://www.instagram.com/p/C29VVW4qoka/,"Berkunjung ke Lampung, tentu tidak boleh melewatkan pergi ke Bakauheni Harbour City. Selain menyajikan pemandangan sekitar bakauheni yang menawan. Wisatawan dapat berkunjung ke objek wisata menarik yang ada di lokasi. Yuk lihat infonya di http://tinyurl.com/jnkd33xh
#travelspromo #bakauheniharbourcity #wisatalampungselatan #wisatalampung #tamanrekreasi #tamanrekreasilampungselatan #tamanrekreasilampung #informasiwisata #infowisata #infowisatalampungselatan #infowisatalampung #hargatiket #tiketmasuk #tiketmasukbakauheniharbourcity #visitlampungselatan #explorelampungselatan",2024-02-05 08:00:51,,0
C1or7ndSbtW,https://www.instagram.com/p/C1or7ndSbtW/,"Betapa membosankan hidup di tengah keriuhan, bergulat dengan kemacetan dan terjebak di zona lingkungan yang sama—hanya menemui lingkungan 
itu-itu saja; membuat kejenuhan semakin sempurna.
.
.
.
#visitkalianda 
#visitlampungselatan 
#backpacker",2024-01-03 11:02:52,,281
CvmcqaNS967,https://www.instagram.com/p/CvmcqaNS967/,"Justru karena masih ada mimpi, kita jadi punya alasan untuk terus hidup, terus maju, terus berjalan, terus mengejar. Tanpa mimpi sama sekali, apa pula arti hidup ini?
— Agustinus Wibowo
.
.
.
#visitlampungselatan 
#pesawarangeh 
#pulaupahawang 
#pulaukelegian",2023-08-06 11:02:36,,363
CvjiRBtyXQN,https://www.instagram.com/p/CvjiRBtyXQN/,"مَاشَاءَ اللهُ تَبَارَكَ اللهُ

Late post 
#krakataupark #lampung #lampungselatan #bakauheni #visitlampung #visitlampungselatan",2023-08-05 07:53:50,,9
CsJZSDYyFu6,https://www.instagram.com/p/CsJZSDYyFu6/,"@masjidbsi_bakauheni 
#visitlampung #visitlampungselatan",2023-05-12 14:40:54,,5
CqF0WY6yw40,https://www.instagram.com/p/CqF0WY6yw40/,"Marhaban ya Ramadhan

Mari kita sambut bulan suci dengan suka cita dan lebih khusyuk dalam beribadah

@inkragarden_lampung mengucapkan 

Selamat Menjalankan Ibadah Puasa Ramadhan 🙏

#wisatalam#wisatabunga#sambutramadhan#kolamrenang#kolamrenanganak#bersamakeluarga#happytime#relax#santai#happylife#hqppysoul#visitlampungselatan#explorelampungselatan#explorelampung",2023-03-22 12:17:40,,4
Cjh1IJAhM5o,https://www.instagram.com/p/Cjh1IJAhM5o/,"today and beyond, don’t for get to be grateful. 

#visitlampungselatan #visitpahawangisland #pahawangisland #whatputriweartoday",2022-10-10 09:43:26,,108
CiBo3puhKPs,https://www.instagram.com/p/CiBo3puhKPs/,"EduFun bersama Paud Mandiri Desa Hargo Pancuran, Rajabasa, Lamsel

Belajar sambil bermain untuk pengembangan saraf motorik anak. Seru dan asyik sekali 😊

Yuk ke @inkragarden_lampung 
Buka : setiap hari

#paud#anakbermain#berenang#wisata#edufunwithkids#kidsentertaining#swimmingpool#latepost#visitlampung#visitrajabasa#visitlampungselatan#dikbudlampung#dikbudlampungselatan#happy#pariwisatalamsel#happyfamily#happylearning",2022-09-03 01:09:14,,18
ChZ58T_P0NU,https://www.instagram.com/p/ChZ58T_P0NU/,"Masyaallah tabarakallah 🤍
Allhamdulillah pacaran setelah halal lebih indah 
#coplegoals #halalcople #taarufnikah #muslimah #islam #coplemuslim #travelers #astetic  #visitindonesia #visitlampung #visitlampungselatan #alexanderchristie #hijabchic #adidassneakers #cordydailyinspiration #ondaindonesia",2022-08-18 14:48:48,,13
CbTzsJgJGB_,https://www.instagram.com/p/CbTzsJgJGB_/,"Continue…
Karena sudah malam setelah nengok saudara jadilah makan di nasi uduk toha karena dia buka sampe lewat tengah malam
Nasi uduk toha 3/5
Besok pagi habis papa acara keluarga besar mama di hotel jam 12 kita makan di baso sony dan pempek tenda biru kemudian beli oleh2x…
Baso sony  3/5
Pempek tenda biru 4.25/5

Sambil menunggu kapal fery jam 18:45
Kita ke @aranglampung dari bandar lampung 1,5jam via tol tetapi jika sudah masuk jalanan desa jlananya aga berlubang, klo sudah masuk kawasan wisatanya jalanya berbatu…

Tiket masuk dewasa 3 orang (anak anak dibawah 5thn free) total 150k 
Tetapi sudah termasuk mobil HLUX antar jemput pantai dan free voucher makan @100k total voucher 300k ( makananya bisa di bilang overpriced) menu makanan yg dipesan :
Sirloin meltic,french fries 300gr, beef slice 250gr, nasi goreng ayam,lecy tea, kelapa batok 2, free sauce/bumbu grill dan alat bakar+arang…total mkan sktr 400an tetapi krn tiket masuk sdh termasuk voucher makan maka kami membayar sisanya 130k
Total makan, tiket masuk dan sewa hilux ke pantai = 150k+130k=280k worth it sh karena pantai bersih bisa renang ada tempat untuk rebahan free, adem tetapi hati hati krn ombaknya lumayan tinggi..

Tips bawa anak : 
1. Download video yutub di hp/tab anak
2. Bawa cemilan, susu, dll
3. Bawa buku favorit anak
4. Bed cover dan bantal buat rebahan
5. Bawa vitamin anak

Sayang banget mendadak tidak prepare apapun next insyAllah explore pantai lampung lagi pantainya bagus pake kamera hp udah bagus, dari arang beach ke pelabuhan 1.5jam lumayan liburan tipis2 btw kita di sini cuma 2jam krn cuma nunggu jadwal kapal fery..jgn lupa reservasi dulu nomornya ada di ig @aranglampung 

#arangbeach #visitlampungselatan #familytime #masyaallahtabarakallah #33weekspregnant",2022-03-20 03:08:38,,18
CaxC8ZKvVfi,https://www.instagram.com/p/CaxC8ZKvVfi/,"Menunggu yang akan berlalu.
Menanti yang akan pergi
Walaupun cuma sesaat ku nikmati .
Esok pagi akan menyapa kembali  dgn penuh berseri
#lampung
#visitlampungselatan
@explorewisatalampung
@pulaumengkudu
@wisatalampungselatan",2022-03-06 14:50:13,,114
CaPiZF2h-Tb,https://www.instagram.com/p/CaPiZF2h-Tb/,"#sunset
.
Pantai Kedu merupakan salah satu jenis pantai berpasir putih yang halus dan salah satu pantai yang biasa dijelajahi.
Pantai Kedu populer karena keunikannya yang menghadap ke arah barat. Hal ini menjadikan posisi pantai yang satu ini sangat cocok untuk melihat sunset. Tidak hanya itu, pantai ini dihiasi oleh gugusan Pulau Krakatau dan tampak elok pemandangan gunung Rajabasa yang memang seolah-olah menampakan dirinya di atas air laut
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#motivasiilmu #katabijak #TravelerDadakan #indonesia #lampung #lampungselatan #laut #pantai #pantaikedu #kalianda #awan #sunset #repost #repostindonesian #pesonaindonesia #jelajahindonesia #jelajahlampungselatan #jelajahsumatera #jelajahlampung #visitindonesia #visitlamsel #visitlampung #visitlampungselatan #trip #indonesia #likeforlikes #like4likes #likeforfollow #jalanjalan #travelling",2022-02-21 14:30:51,,12
CaPiS4Rvfei,https://www.instagram.com/p/CaPiS4Rvfei/,"#sunset
.
Pantai Kedu merupakan salah satu jenis pantai berpasir putih yang halus dan salah satu pantai yang biasa dijelajahi.
Pantai Kedu populer karena keunikannya yang menghadap ke arah barat. Hal ini menjadikan posisi pantai yang satu ini sangat cocok untuk melihat sunset. Tidak hanya itu, pantai ini dihiasi oleh gugusan Pulau Krakatau dan tampak elok pemandangan gunung Rajabasa yang memang seolah-olah menampakan dirinya di atas air laut
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#motivasiilmu #katabijak #TravelerDadakan #indonesia #lampung #lampungselatan #laut #pantai #pantaikedu #kalianda #awan #sunset #repost #repostindonesian #pesonaindonesia #jelajahindonesia #jelajahlampungselatan #jelajahsumatera #jelajahlampung #visitindonesia #visitlamsel #visitlampung #visitlampungselatan #trip #indonesia #likeforlikes #like4likes #likeforfollow #jalanjalan #travelling",2022-02-21 14:30:00,,44
CZysqkKh9Cv,https://www.instagram.com/p/CZysqkKh9Cv/,"#sunset
.
Sunset mengajarkan kita bahwa hidup tak selalu cemerlang dan bersinar
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#motivasiilmu #katabijak #TravelerDadakan #indonesia #lampung #lampungselatan #laut #pantai #pantaikedu #kalianda #awan #sunset #repost #repostindonesian #pesonaindonesia #jelajahindonesia #jelajahlampungselatan #jelajahsumatera #jelajahlampung #visitindonesia #visitlamsel #visitlampung #visitlampungselatan #trip #indonesia #likeforlikes #like4likes #likeforfollow #jalanjalan #travelling",2022-02-10 09:42:38,,15
CZysb4MvgmS,https://www.instagram.com/p/CZysb4MvgmS/,"#sunset
.
Sunset mengajarkan kita bahwa hidup tak selalu cemerlang dan bersinar
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#motivasiilmu #katabijak #TravelerDadakan #indonesia #lampung #lampungselatan #laut #pantai #pantaikedu #kalianda #awan #sunset #repost #repostindonesian #pesonaindonesia #jelajahindonesia #jelajahlampungselatan #jelajahsumatera #jelajahlampung #visitindonesia #visitlamsel #visitlampung #visitlampungselatan #trip #indonesia #likeforlikes #like4likes #likeforfollow #jalanjalan #travelling",2022-02-10 09:40:38,,29
CZqyHhvhba6,https://www.instagram.com/p/CZqyHhvhba6/,"#sunset
.
Berbicara dan berlakulah dengan baik kepada orang yang menjahati Anda. Mereka boleh jahat, tapi Anda tetap baik
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#motivasiilmu #katabijak #TravelerDadakan #indonesia #lampung #lampungselatan #laut #pantai #pantaikedu #kalianda #awan #sunset #repost #repostindonesian #pesonaindonesia #jelajahindonesia #jelajahlampungselatan #jelajahsumatera #jelajahlampung #visitindonesia #visitlamsel #visitlampung #visitlampungselatan #trip #indonesia #likeforlikes #like4likes #likeforfollow #jalanjalan #travelling",2022-02-07 07:56:22,,10
CZqx_r0PHmh,https://www.instagram.com/p/CZqx_r0PHmh/,"#sunset
.
Berbicara dan berlakulah dengan baik kepada orang yang menjahati Anda. Mereka boleh jahat, tapi Anda tetap baik
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#motivasiilmu #katabijak #TravelerDadakan #indonesia #lampung #lampungselatan #laut #pantai #pantaikedu #kalianda #awan #sunset #repost #repostindonesian #pesonaindonesia #jelajahindonesia #jelajahlampungselatan #jelajahsumatera #jelajahlampung #visitindonesia #visitlamsel #visitlampung #visitlampungselatan #trip #indonesia #likeforlikes #like4likes #likeforfollow #jalanjalan #travelling",2022-02-07 07:55:17,,38
